"Account not enough balance to delete","Account not enough balance to delete"
"Action","Action"
"Affiliate Account","Affiliate Account"
"Affiliate Email","Affiliate Email"
"Affiliateplus","Affiliateplus"
"Amount","Amount"
"Are you sure?","Are you sure?"
"Balance","Balance"
"CSV","CSV"
"Canceled","Canceled"
"Commission","Commission"
"Completed","Completed"
"Customer Email","Customer Email"
"Delete Withdrawal","Delete Withdrawal"
"Deleted Transaction Manager","Deleted Transaction Manager"
"Deleted Withdrawal Manager","Deleted Withdrawal Manager"
"Disabled","Disabled"
"Discount","Discount"
"Enabled","Enabled"
"Fee","Fee"
"ID","ID"
"Including %s tax","Including %s tax"
"Including fee","Including fee"
"Item does not exist","Item does not exist"
"Manage Deleted Transactions","Manage Deleted Transactions"
"Manage Deleted Withdrawals","Manage Deleted Withdrawals"
"Manage Withdrawals","Manage Withdrawals"
"Move to Trash","Move to Trash"
"No transaction is moved to trash","No transaction is moved to trash"
"No transaction is restored","No transaction is restored"
"No withdrawal is moved to trash","No withdrawal is moved to trash"
"No withdrawal is restored","No withdrawal is restored"
"Not including fee","Not including fee"
"Order","Order"
"Pay for Order","Pay for Order"
"Payment Manager","Payment Manager"
"Payment Method","Payment Method"
"Payment Method Information","Payment Method Information"
"Payment News","Payment News"
"Payments Manager","Payments Manager"
"Paypal Email","Paypal Email"
"Pending","Pending"
"Processing","Processing"
"Product Name","Product Name"
"Refunded","Refunded"
"Requested time","Requested time"
"Restore","Restore"
"Restore Withdrawal","Restore Withdrawal"
"Restore deleted transaction. Are you sure?","Restore deleted transaction. Are you sure?"
"Status","Status"
"Status History","Status History"
"Store view","Store view"
"Tax","Tax"
"Time","Time"
"Total %s of %s transactions were moved to trash successfully","Total %s of %s transactions were moved to trash successfully"
"Total %s of %s transactions were restored successfully","Total %s of %s transactions were restored successfully"
"Total %s of %s withdrawals were moved to trash successfully","Total %s of %s withdrawals were moved to trash successfully"
"Total %s of %s withdrawals were restored successfully","Total %s of %s withdrawals were restored successfully"
"Total Amount","Total Amount"
"Transaction ID","Transaction ID"
"Transaction Manager","Transaction Manager"
"Transaction was moved to trash successfully","Transaction was moved to trash successfully"
"Transaction was restored successfully","Transaction was restored successfully"
"Transactions","Transactions"
"Transactions Manager","Transactions Manager"
"Trash","Trash"
"View","View"
"View Affiliate Account Detail","View Affiliate Account Detail"
"View Order","View Order"
"View Withdrawal for ","View Withdrawal for "
"Waiting","Waiting"
"Withdrawal Information","Withdrawal Information"
"Withdrawal Method","Withdrawal Method"
"Withdrawal News","Withdrawal News"
"Withdrawal information","Withdrawal information"
"Withdrawal was moved to trash successfully","Withdrawal was moved to trash successfully"
"Withdrawal was restored successfully","Withdrawal was restored successfully"
"Withdrawals","Withdrawals"
"Withdrawals Manager","Withdrawals Manager"
"XML","XML"
"You can change this email on the acount edit page","You can change this email on the acount edit page"
