"%s - Minimum balance required for payout.","%s - Minimum balance required for payout."
"1","1"
"10px","10px"
"2","2"
"Lead Details","Lead Details"
"Account Name","Account Name"
"Action","Action"
"Add Lead","Add Lead"
"Add commission twice when customer registers and subscribes","Add commission twice when customer registers and subscribes"
"Additional","Additional"
"Affiliate Link","Affiliate Link"
"Affiliatepluspayperlead","Affiliatepluspayperlead"
"Allow Everything","Allow Everything"
"CSV","CSV"
"Cancel","Cancel"
"Canceled","Canceled"
"Commission","Commission"
"Total Commission","Total Commission"
"Commission Type","Commission Type"
"Commission per each account signed up: %s.","Commission per each account signed up: %s."
"Commission per each new subscription: %s.","Commission per each new subscription: %s."
"Commission per newsletter subscription","Commission per newsletter subscription"
"Commission per account signed up","Commission per account signed up"
"Commission paid for affiliates when new customers register via affiliate's link.","Commission paid for affiliates when new customers register via affiliate's link."
"Commission paid for affiliate when new users subscribe to newsletters.","Commission paid for affiliate when new users subscribe to newsletters."
"Commissions","Commissions"
"Complete","Complete"
"Consumer action","Consumer action"
"Date Created","Date Created"
"Custom URL","Custom URL"
"Customer Email","Customer Email"
"Date","Date"
"Deduct commission when customer unsubscribes","Deduct commission when customer unsubscribes"
"Deduct commission when customer’s account is deleted or disabled ","Deduct commission when customer’s account is deleted or disabled "
"Discount %s for each purchased item.","Discount %s for each purchased item."
"Discount policy","Discount policy"
"Edit Lead of ","Edit Lead of "
"Eg: If you fill in abc.com, affiliate can custom the affiliate link to abc.com/affiliatename","Eg: If you fill in abc.com, affiliate can custom the affiliate link to abc.com/affiliatename"
"Enable Pay per Lead Program","Enable Pay per Lead Program"
"From Date","From Date"
"ID","ID"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item information","Item information"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Items Manager","Items Manager"
"Lead Details","Lead Details"
"Lead Details Page","Lead Details Page"
"Lead Earnings","Lead Earnings"
"Lead Information","Lead Information"
"Lead Manager","Lead Manager"
"Lead Transactions","Lead Transactions"
"Leads Details","Leads Details"
"Magestore Extension","Magestore Extension"
"No","No"
"No.","No."
"Total new account","Total new account"
"Total new subscription","Total new subscription"
"OUR PROGRAM","OUR PROGRAM"
"OUR PROGRAMS","OUR PROGRAMS"
"Pay per Lead","Pay per Lead"
"Pay-Per-Sale %s for each sale you deliver.","Pay-Per-Sale %s for each sale you deliver."
"Pay-per-lead Commission","Pay-per-lead Commission"
"Pay per Lead Configuration","Pay per Lead Configuration"
"Pay per Lead Description","Pay per Lead Description"
"The details or introduction of the Pay per Lead program which will be shown on Affiliate home page, Lead Details page and My Program page.","The details or introduction of the Pay per Lead program which will be shown on Affiliate home page, Lead Details page and My Program page."
"Pay-per-lead Program","Pay-per-lead Program"
"Pay per Lead base link","Pay per Lead base link"
"Payout Requirements","Payout Requirements"
"Pending","Pending"
"Please enter a valid custom url","Please enter a valid custom url"
"Products Name","Products Name"
"Save","Save"
"Sign up for an account","Sign up for an account"
"Sign-up account","Sign-up account"
"Status","Status"
"Subscribe to newsletters","Subscribe to newsletters"
"Subscribe newsletter","Subscribe newsletter"
"There are no items matching this selection.","There are no items matching this selection."
"This custom url already existed. Please choose another custom url.","This custom url already existed. Please choose another custom url."
"To Date","To Date"
"Total Amount","Total Amount"
"Type","Type"
"Unable to find item to save","Unable to find item to save"
"View Account Detail","View Account Detail"
"Welcome To Our Pay-per-lead Program!","Welcome To Our Pay-per-lead Program!"
"XML","XML"
"Your custom url has been saved successfully!","Your custom url has been saved successfully!"
"Your personal affiliate link","Your personal affiliate link"
"Your personal affiliate url","Your personal affiliate url"
